French,English
partie,part
seulement,only
genre,kind
laisser,let
car,because
aucun,no
laisse,leash
chaque,each
arrivé,come
devrait,should
bébé,baby
heures,hours
revoir,meet again
aucune,any
place,square
parle,speak
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
endroit,place
dont,whose
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
tiens,here
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
eau,water
attendez,Wait
parti,left
donne,given
loin,far
aura,will have
jouer,to play
bureau,office
